Address A,Port A,Address B,Port B,Packets,Bytes,Stream ID,Total Packets,Percent Filtered,Packets A to B,Bytes A to B,Packets B to A,Bytes B to A,Rel Start,Duration,Bits A to B,Bits B to A,classification
192.168.10.126,65247,192.168.10.1,53,15,1101,570,0,0,10,668,5,433,310.026842,0.023248,229869,149002,Admin
192.168.10.126,65248,192.168.10.1,53,15,1142,571,0,0,10,668,5,474,310.027019,0.023072,231622,164355,Admin
192.168.10.126,65249,192.168.10.1,53,17,1209,572,0,0,12,776,5,433,310.027127,0.022966,270312,150831,Admin
192.168.10.126,65250,3.86.127.24,443,47,15710,573,0,0,30,8624,17,7086,310.044306,61.170215,1127,926,Unclear
192.168.10.126,65242,79.127.213.244,443,315,144063,565,0,0,200,74424,115,69639,310.211671,198.036471,3006,2813,Google
192.168.10.126,65234,79.127.213.240,443,30,12072,557,0,0,20,6464,10,5608,310.211782,32.021968,1614,1401,Google
192.168.10.126,61729,192.168.10.117,8009,561,67962,14,0,0,434,50740,127,17222,310.259568,494.637138,820,278,Admin
192.168.10.126,61727,192.168.10.117,8009,611,74118,15,0,0,464,55660,147,18458,310.259576,494.638605,900,298,Admin
192.168.10.126,61957,149.154.170.200,443,1029,160784,7,0,0,702,106400,327,54384,310.297907,497.491148,1710,874,Unclear
2620:1ec:21::14,443,2406:3003:2003:1c3b:dfc:2032:c4e:dc7,61794,609,271070,38,0,0,207,26774,402,244296,310.579707,493.130468,434,3963,Google
2603:1046:c01:1006::2,443,2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,62449,881,266427,11,0,0,319,60825,562,205602,310.916474,496.323043,980,3314,Google
192.168.10.126,65227,79.127.213.241,443,71,27014,551,0,0,46,14872,25,12142,311.213125,262.448494,453,370,Google
79.127.213.241,443,192.168.10.126,65246,11,2951,569,0,0,3,1175,8,1776,312.148016,12.100791,776,1174,Admin
192.168.10.126,65241,68.232.45.61,443,16078,17379383,564,0,0,4446,291268,11632,17088115,312.210116,261.453469,8912,522865,Unclear
79.127.213.240,443,192.168.10.126,65244,30,11858,567,0,0,10,4158,20,7700,312.309811,32.919148,1010,1871,Admin
192.168.10.126,65245,79.127.213.240,443,14,4023,568,0,0,10,3228,4,795,312.327322,12.900841,2001,492,Google
192.168.10.126,65251,10.91.207.234,7680,10,660,574,0,0,10,660,0,0,313.669365,15.005289,351,0,Unclear
192.168.10.126,65252,10.91.46.175,7680,10,660,575,0,0,10,660,0,0,313.670549,15.002862,351,0,Unclear
52.0.218.127,443,192.168.10.126,61837,210,32483,21,0,0,54,5499,156,26984,314.072684,493.138297,89,437,Admin
2603:1063:2202:38::25,443,2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,62158,229,21863,0,0,0,97,10559,132,11304,314.072684,483.544476,174,187,Google
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65253,2603:1063:2200::12,443,268,174499,576,0,0,206,102202,62,72297,315.211621,258.667645,3160,2235,Google
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65254,2603:1063:2200::12,443,33,11217,577,0,0,22,4314,11,6903,315.214432,124.613113,276,443,Google
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65255,2603:1063:2200::12,443,283,177175,578,0,0,214,94108,69,83067,315.215658,258.663396,2910,2569,Google
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65256,2603:1063:2200::12,443,29,7834,579,0,0,20,2374,9,5460,315.462514,75.990922,249,574,Google
192.168.10.126,65257,52.108.186.5,443,5,330,580,0,0,2,132,3,198,315.763059,9.250673,114,171,Unclear
192.168.10.1,53,192.168.10.126,65240,4,264,563,0,0,4,264,0,0,315.766176,84.921672,24,0,Admin
2406:3003:2003:1c3b:dfc:2032:c4e:dc7,61951,2a03:2880:f20c:2c6:face:b00c:0:167,443,158,18214,37,0,0,104,12056,54,6158,316.207937,489.306946,197,100,Google
79.127.213.243,443,192.168.10.126,65169,13,3050,493,0,0,5,1290,8,1760,316.672997,10.846263,951,1298,Admin
192.168.10.126,65258,192.168.10.1,53,15,1030,581,0,0,10,636,5,394,317.213616,0.020974,242586,150281,Admin
192.168.10.126,65259,192.168.10.1,53,17,1090,582,0,0,12,744,5,346,317.213946,0.016393,363081,168852,Admin
192.168.10.126,65260,192.168.10.1,53,17,1126,583,0,0,12,744,5,382,317.214179,0.026721,222746,114366,Admin
192.168.10.126,65261,69.165.105.13,443,126,60454,584,0,0,74,21788,52,38666,317.235604,256.658137,679,1205,Unclear
192.168.10.126,61838,18.211.194.112,443,85,8704,39,0,0,68,6154,17,2550,317.275623,486.480349,101,41,Unclear
192.168.10.126,65262,69.165.105.13,443,22,2547,585,0,0,16,2064,6,483,317.487885,62.001058,266,62,Unclear
192.168.10.126,65151,54.91.59.199,443,11,632,476,0,0,6,326,5,306,320.519897,10.941705,238,223,Unclear
2406:3003:2003:1c3b:dfc:2032:c4e:dc7,62081,2404:6800:4003:c02::66,80,87,9751,53,0,0,58,6330,29,3421,320.880791,480.181784,105,56,Google
192.168.10.126,65263,79.127.213.241,443,66,25530,586,0,0,42,12340,24,13190,324.210277,41.015183,2406,2572,Google
192.168.10.126,65264,79.127.213.241,443,34,8621,587,0,0,22,3132,12,5489,327.215067,11.02587,2272,3982,Google
192.168.10.126,65265,192.168.10.1,53,17,1102,588,0,0,12,744,5,358,331.22268,0.022639,262909,126507,Admin
192.168.10.126,65266,192.168.10.1,53,17,1078,589,0,0,12,744,5,334,331.223115,0.016211,367158,164826,Admin
192.168.10.126,65267,192.168.10.1,53,17,1153,590,0,0,12,744,5,409,331.223365,0.02194,271285,149134,Admin
2406:3003:2003:1c3b:dfc:2032:c4e:dc7,61834,2404:6800:4003:c1c::bc,5228,39,3118,45,0,0,26,1998,13,1120,331.225332,464.140215,34,19,Google
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65268,2001:67c:4e8:f004::9,443,62,16294,591,0,0,38,7656,24,8638,331.241451,181.287714,337,381,Unclear
192.168.10.126,65269,192.168.10.1,53,15,1074,592,0,0,10,630,5,444,331.249481,0.216555,23273,16402,Admin
192.168.10.126,65270,192.168.10.1,53,17,1193,593,0,0,12,738,5,455,331.249644,0.024891,237194,146237,Admin
192.168.10.126,65271,192.168.10.1,53,15,1086,594,0,0,10,630,5,456,331.24976,0.026575,189651,137271,Admin
192.168.10.126,65272,54.91.59.199,443,64,15084,595,0,0,42,9016,22,6068,331.462741,59.209028,1218,819,Unclear
192.168.10.126,65273,79.127.213.240,443,38,11227,596,0,0,24,4600,14,6627,332.284034,13.989568,2630,3789,Google
192.168.10.126,65274,54.91.59.199,443,77,28066,597,0,0,50,16040,27,12026,332.754214,121.232331,1058,793,Unclear
192.168.10.126,65275,54.91.59.199,443,55,13850,598,0,0,36,6878,19,6972,333.005847,120.985778,454,461,Unclear
192.168.10.126,65276,54.91.59.199,443,58,11643,599,0,0,36,5288,22,6355,334.163724,119.841582,352,424,Unclear
192.168.10.126,65277,192.168.10.1,53,15,1172,600,0,0,10,662,5,510,335.228889,0.033932,156076,120240,Admin
192.168.10.126,65278,192.168.10.1,53,17,1244,601,0,0,12,770,5,474,335.229175,0.028449,216527,133291,Admin
192.168.10.126,65279,192.168.10.1,53,17,1269,602,0,0,12,770,5,499,335.229544,0.031729,194144,125815,Admin
192.168.10.126,65280,192.168.10.1,53,17,1176,603,0,0,12,760,5,416,335.241808,0.036324,167382,91619,Admin
192.168.10.126,65281,192.168.10.1,53,17,1168,604,0,0,12,760,5,408,335.242112,0.029106,208891,112141,Admin
192.168.10.126,65282,192.168.10.1,53,17,1188,605,0,0,12,760,5,428,335.242313,0.034599,175727,98962,Admin
192.168.10.126,65283,192.168.10.1,53,17,1293,606,0,0,12,776,5,517,335.248993,0.031388,197782,131770,Admin
192.168.10.126,65284,192.168.10.1,53,15,1149,607,0,0,10,668,5,481,335.249591,0.042289,126368,90992,Admin
192.168.10.126,65285,192.168.10.1,53,15,1186,608,0,0,10,668,5,518,335.249855,0.042739,125038,96960,Admin
2406:3003:2003:1c3b:dd11:a88e:d7a1:7c72,65286,2603:1063:2000::12,443,63,32562,609,0,0,42,24128,21,8434,335.253392,126.459397,1526,533,Google
192.168.10.126,65287,192.168.10.1,53,15,1097,610,0,0,10,634,5,463,335.254637,0.037587,134940,98544,Admin
192.168.10.126,65288,192.168.10.1,53,17,1361,611,0,0,12,742,5,619,335.254928,0.037374,158826,132498,Admin
192.168.10.126,65289,192.168.10.1,53,17,1488,612,0,0,12,742,5,746,335.255136,0.037166,159715,160576,Admin
